File_name,Problem type,Variables number,DD Type,Max Width,Num SOC constraints,Cut Type,CutStrengthening,Best solution,Root Gap,Gap,Solution Time,DD Time,Total Number Nodes,Total Number Arcs,NodeBB,Num Cuts
knapsack_n125m10o5b5_3.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,4853.000000,0.030291,0.000000,53.500727,2.822086,20080,36482,4853,70
knapsack_n125m10o5b5_4.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,4995.000000,0.026426,0.000000,50.128402,2.418932,18949,34839,3403,57
knapsack_n125m20o1b5_4.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4470.000000,0.026622,0.000000,116.004823,5.749683,37898,70132,6194,45
knapsack_n125m20o1b5_3.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4580.000000,0.025546,0.000000,213.091272,5.749661,39833,73436,21667,57
knapsack_n125m20o1b5_2.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4617.000000,0.029023,0.000000,314.482259,5.746884,35474,66040,24674,56
knapsack_n125m20o1b5_0.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4386.000000,0.032376,0.000000,1162.438039,5.380464,38333,71241,67811,40
knapsack_n125m20o1b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4714.000000,0.034154,0.000000,1566.587133,5.825396,36814,68505,91896,68
knapsack_n125m20o3b5_4.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4268.000000,0.036785,0.000000,94.384264,5.299818,38353,70182,11727,80
knapsack_n125m20o3b5_0.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4208.000000,0.046103,0.000000,1705.632469,5.156269,39704,72947,122380,58
knapsack_n125m20o3b5_3.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4435.000000,0.038557,0.000000,698.600535,5.445023,39808,72738,52786,78
knapsack_n125m20o3b5_2.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4400.000000,0.047727,0.000000,2545.260937,5.625967,36275,66846,172750,74
knapsack_n125m20o3b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4501.000000,0.046434,0.007776,3600.041406,5.471257,39074,72040,186098,62
knapsack_n125m20o5b5_2.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4262.000000,0.061708,0.000000,2012.399248,5.141217,36634,67224,124987,87
knapsack_n150m10o1b5_0.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,6139.000000,0.013846,0.000000,3.415086,3.947830,24290,44793,860,24
knapsack_n150m10o1b5_1.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,5985.000000,0.011362,0.000000,4.517880,4.005102,18953,35266,1347,32
knapsack_n150m10o1b5_2.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,6045.000000,0.011084,0.000000,30.340528,3.700326,21915,40104,1132,17
knapsack_n150m10o1b5_3.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,6102.000000,0.014094,0.000000,5.556540,3.549907,22646,41692,1581,32
knapsack_n150m10o1b5_4.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,6435.000000,0.011655,0.000000,30.003445,3.545556,26123,48137,1073,31
knapsack_n150m10o3b5_0.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,5977.000000,0.020746,0.000000,5.139017,3.570380,25033,45705,1435,36
knapsack_n125m20o5b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,20,FlowCuts,false,4362.000000,0.057313,0.000000,2154.176758,5.436105,40347,73830,149327,62
knapsack_n150m10o3b5_2.txt,SOC Knapsack,150,RelaxPriority,4000,10,FlowCuts,false,5929.000000,0.017204,0.000000,21.951408,3.302231,23128,41655,5276,46
