File_name,Problem type,Variables number,Best solution,Dual bound,Gap, Solution Time
set_cover_n100_m69_d0.5_b_w32_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0551
set_cover_n100_m69_d0.05_b_w32_seed4.txt,Set Cover,100,16.0,16.0,0.0,0.1156
set_cover_n100_m69_d0.5_b_w32_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0616
set_cover_n100_m69_d0.15_b_w32_seed1.txt,Set Cover,100,7.0,7.0,0.0,0.3218
set_cover_n100_m69_d0.15_b_w32_seed2.txt,Set Cover,100,7.0,7.0,0.0,0.117
set_cover_n100_m69_d0.15_b_w32_seed3.txt,Set Cover,100,7.0,7.0,0.0,0.6192
set_cover_n100_m69_d0.15_b_w32_seed4.txt,Set Cover,100,7.0,7.0,0.0,0.1318
set_cover_n100_m69_d0.25_b_w32_seed1.txt,Set Cover,100,4.0,4.0,0.0,0.0768
set_cover_n100_m69_d0.25_b_w32_seed2.txt,Set Cover,100,4.0,4.0,0.0,0.0525
set_cover_n100_m69_d0.25_b_w32_seed3.txt,Set Cover,100,4.0,4.0,0.0,0.072
set_cover_n100_m69_d0.25_b_w32_seed4.txt,Set Cover,100,4.0,4.0,0.0,0.0636
set_cover_n100_m69_d0.35_b_w32_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.046
set_cover_n100_m69_d0.35_b_w32_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.069
set_cover_n100_m69_d0.35_b_w32_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.063
set_cover_n100_m69_d0.35_b_w32_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0909
set_cover_n100_m69_d0.45_b_w32_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0627
set_cover_n100_m69_d0.45_b_w32_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0636
set_cover_n100_m69_d0.45_b_w32_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.069
set_cover_n100_m69_d0.45_b_w32_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0515
set_cover_n100_m72_d0.1_b_w29_seed1.txt,Set Cover,100,9.0,9.0,0.0,0.1237
set_cover_n100_m72_d0.1_b_w29_seed2.txt,Set Cover,100,9.0,9.0,0.0,0.1125
set_cover_n100_m72_d0.1_b_w29_seed3.txt,Set Cover,100,9.0,9.0,0.0,0.4378
set_cover_n100_m72_d0.1_b_w29_seed4.txt,Set Cover,100,10.0,10.0,0.0,0.4719
set_cover_n100_m72_d0.2_b_w29_seed1.txt,Set Cover,100,5.0,5.0,0.0,0.122
set_cover_n100_m72_d0.2_b_w29_seed2.txt,Set Cover,100,5.0,5.0,0.0,0.1734
set_cover_n100_m72_d0.2_b_w29_seed3.txt,Set Cover,100,5.0,5.0,0.0,0.0849
set_cover_n100_m72_d0.2_b_w29_seed4.txt,Set Cover,100,5.0,5.0,0.0,0.0877
set_cover_n100_m72_d0.3_b_w29_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0603
set_cover_n100_m72_d0.3_b_w29_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0664
set_cover_n100_m72_d0.3_b_w29_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0406
set_cover_n100_m72_d0.3_b_w29_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0492
set_cover_n100_m72_d0.4_b_w29_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0368
set_cover_n100_m72_d0.4_b_w29_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0446
set_cover_n100_m72_d0.4_b_w29_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0664
set_cover_n100_m72_d0.4_b_w29_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0482
set_cover_n100_m72_d0.05_b_w29_seed1.txt,Set Cover,100,15.0,15.0,0.0,0.1167
set_cover_n100_m72_d0.5_b_w29_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.062
set_cover_n100_m72_d0.05_b_w29_seed2.txt,Set Cover,100,16.0,16.0,0.0,0.0865
set_cover_n100_m72_d0.5_b_w29_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0424
set_cover_n100_m72_d0.05_b_w29_seed3.txt,Set Cover,100,16.0,16.0,0.0,0.0954
set_cover_n100_m72_d0.5_b_w29_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0547
set_cover_n100_m72_d0.05_b_w29_seed4.txt,Set Cover,100,17.0,17.0,0.0,0.1182
set_cover_n100_m72_d0.5_b_w29_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0536
set_cover_n100_m72_d0.15_b_w29_seed1.txt,Set Cover,100,7.0,7.0,0.0,0.1121
set_cover_n100_m72_d0.15_b_w29_seed2.txt,Set Cover,100,7.0,7.0,0.0,0.1198
set_cover_n100_m72_d0.15_b_w29_seed3.txt,Set Cover,100,7.0,7.0,0.0,0.4181
set_cover_n100_m72_d0.15_b_w29_seed4.txt,Set Cover,100,6.0,6.0,0.0,0.0831
set_cover_n100_m72_d0.25_b_w29_seed1.txt,Set Cover,100,4.0,4.0,0.0,0.1013
set_cover_n100_m72_d0.25_b_w29_seed2.txt,Set Cover,100,4.0,4.0,0.0,0.065
set_cover_n100_m72_d0.25_b_w29_seed3.txt,Set Cover,100,4.0,4.0,0.0,0.0715
set_cover_n100_m72_d0.25_b_w29_seed4.txt,Set Cover,100,4.0,4.0,0.0,0.1132
set_cover_n100_m72_d0.35_b_w29_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0798
set_cover_n100_m72_d0.35_b_w29_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0782
set_cover_n100_m72_d0.35_b_w29_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0718
set_cover_n100_m72_d0.35_b_w29_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0867
set_cover_n100_m72_d0.45_b_w29_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0755
set_cover_n100_m72_d0.45_b_w29_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0609
set_cover_n100_m72_d0.45_b_w29_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0552
set_cover_n100_m72_d0.45_b_w29_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.071
set_cover_n100_m75_d0.1_b_w26_seed1.txt,Set Cover,100,10.0,10.0,0.0,0.3214
set_cover_n100_m75_d0.1_b_w26_seed2.txt,Set Cover,100,9.0,9.0,0.0,0.0917
set_cover_n100_m75_d0.1_b_w26_seed3.txt,Set Cover,100,10.0,10.0,0.0,0.4971
set_cover_n100_m75_d0.1_b_w26_seed4.txt,Set Cover,100,10.0,10.0,0.0,0.5621
set_cover_n100_m75_d0.2_b_w26_seed1.txt,Set Cover,100,5.0,5.0,0.0,0.0723
set_cover_n100_m75_d0.2_b_w26_seed2.txt,Set Cover,100,5.0,5.0,0.0,0.058
set_cover_n100_m75_d0.2_b_w26_seed3.txt,Set Cover,100,5.0,5.0,0.0,0.0572
set_cover_n100_m75_d0.2_b_w26_seed4.txt,Set Cover,100,5.0,5.0,0.0,0.111
set_cover_n100_m75_d0.3_b_w26_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0349
set_cover_n100_m75_d0.3_b_w26_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0444
