File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width
f9_l-d_kp_5_80,Knapsack,5,Relaxed,2000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,5000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,10000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,20000,false,max,130,0.00002,na,na,61,60,30
f10_l-d_kp_20_879,Knapsack,20,Exact,99999,false,max,1025,0.00223,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Restricted,500,false,max,1025,0.00171,na,na,6392,10905,586
f10_l-d_kp_20_879,Knapsack,20,Restricted,1000,false,max,1025,0.00226,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Restricted,2000,false,max,1025,0.00225,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Restricted,5000,false,max,1025,0.00227,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Restricted,10000,false,max,1025,0.00224,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Restricted,20000,false,max,1025,0.00227,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Relaxed,500,false,max,1025,0.00204,na,na,6413,11315,588
f10_l-d_kp_20_879,Knapsack,20,Relaxed,1000,false,max,1025,0.00226,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Relaxed,2000,false,max,1025,0.00225,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Relaxed,5000,false,max,1025,0.00225,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Relaxed,10000,false,max,1025,0.00226,na,na,8146,14395,853
f10_l-d_kp_20_879,Knapsack,20,Relaxed,20000,false,max,1025,0.00221,na,na,8146,14395,853
knapPI_1_100_1000_1,Knapsack,100,Exact,99999,false,max,9147,0.01760,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Restricted,500,false,max,9147,0.00836,na,na,43037,52914,568
knapPI_1_100_1000_1,Knapsack,100,Restricted,1000,false,max,9147,0.01696,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Restricted,2000,false,max,9147,0.01777,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Restricted,5000,false,max,9147,0.01779,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Restricted,10000,false,max,9147,0.01697,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Restricted,20000,false,max,9147,0.01752,na,na,69924,97670,901
knapPI_1_100_1000_1,Knapsack,100,Relaxed,500,false,max,9590,0.01062,na,na,43365,53991,569
